order_id,date,Ordered_Time,customer_id,payment_method,Order_type,delivery_address,pizza_type_id,QTY_Ordered
1,1/1/2015,11:38:36,C0041,Online,Delivery,"12 Baker Street, London, W1U 6TY",southw_ckn,3
2,1/1/2015,11:57:40,C0034,Null,Cancelled,"45 Oxford Road, Manchester, M1 7ED",veggie_veg,6
3,1/1/2015,12:12:28,C0097,Cash,Takeaway,"8 Victoria Lane, Birmingham, B1 1BD",sicilian,3
4,1/1/2015,12:16:31,C0029,Null,Cancelled,"22 Castle Street, Edinburgh, EH2 3NR",soppressata,6
5,1/1/2015,12:21:30,C0040,Cash,Dine-in,"17 Highfield Road, Leeds, LS2 8JT",big_meat,4
6,1/1/2015,12:29:36,C0043,Card,Takeaway,"5 Windsor Avenue, Bristol, BS1 5AA",spin_pesto,3
7,1/1/2015,12:50:37,C0080,Null,Cancelled,"30 Queen’s Road, Liverpool, L1 1BG",sicilian,7
8,1/1/2015,12:51:37,C0026,Online,Dine-in,"14 Park Lane, Glasgow, G3 7HB",prsc_argla,7
9,1/1/2015,12:52:01,C0074,Online,Dine-in,"9 The Crescent, Sheffield, S10 2FT",sicilian,5
10,1/1/2015,13:00:15,C0039,Card,Delivery," 3 Riverside Drive, Cardiff, CF10 1DD",the_greek,6
11,1/1/2015,13:02:59,C0026,Cash,Dine-in," 7 Kingsway, Newcastle, NE1 5HG",prsc_argla,7
12,1/1/2015,13:04:41,C0021,Online,Delivery," 19 Church Street, Leicester, LE1 5AN",pepperoni,7
13,1/1/2015,13:11:55,C0023,Card,Takeaway," 25 Manor Road, Nottingham, NG1 6BP",spinach_supr,2
14,1/1/2015,13:14:19,C0017,Card,Takeaway," 11 Station Road, Southampton, SO14 6GH",hawaiian,5
15,1/1/2015,13:33:00,C0019,Card,Delivery," 4 The Green, Brighton, BN1 4KL",big_meat,5
16,1/1/2015,13:34:07,C0050,Online,Dine-in," 16 Bridge Street, Belfast, BT1 5TR",thai_ckn,7
17,1/1/2015,13:53:00,C0071,Online,Delivery," 6 Orchard Lane, Aberdeen, AB10 1FJ",spinach_supr,6
18,1/1/2015,13:57:08,C0066,Online,Dine-in," 21 Market Square, Cambridge, CB2 3NJ",calabrese,7
19,1/1/2015,13:59:09,C0040,Cash,Dine-in," 13 Hilltop Road, Oxford, OX1 4LB",big_meat,5
20,1/1/2015,14:03:08,C0082,Online,Delivery," 2 Mill Lane, York, YO1 6JF",soppressata,2
21,1/1/2015,14:14:29,C0009,Cash,Dine-in," 10 The Grove, Plymouth, PL1 1HQ",spin_pesto,7
22,1/1/2015,14:16:26,C0022,Card,Takeaway," 27 Priory Street, Coventry, CV1 5FG",mediterraneo,4
23,1/1/2015,14:19:03,C0059,Online,Dine-in," 15 West End, Reading, RG1 7HY",calabrese,4
24,1/1/2015,14:23:01,C0079,Cash,Delivery," 8 Meadow Close, Derby, DE1 2TY",big_meat,7
25,1/1/2015,14:44:44,C0035,Online,Delivery," 1 The Pines, Norwich, NR2 1TH",pepperoni,4
26,1/1/2015,14:54:26,C0095,Cash,Delivery," 5 Richmond Road, Bournemouth, BH1 1LX",bbq_ckn,5
27,1/1/2015,15:11:17,C0041,Online,Dine-in," 18 Springfield Avenue, Swansea, SA1 6DF",veggie_veg,4
28,1/1/2015,15:35:46,C0011,Online,Delivery," 22 The Heights, Exeter, EX4 4PD",ckn_pesto,3
29,1/1/2015,15:41:01,C0085,Online,Delivery," 9 Brookside, Hull, HU1 2RT",ital_supr,7
30,1/1/2015,15:41:25,C0084,Online,Dine-in," 14 Fairview Road, Portsmouth, PO1 3AB",big_meat,6
31,1/1/2015,15:50:18,C0028,Null,Cancelled," 3 Riverside Drive, Cardiff, CF10 1DD",spicy_ital,3
32,1/1/2015,15:53:18,C0018,Cash,Dine-in," 5 Richmond Road, Bournemouth, BH1 1LX",cali_ckn,3
33,1/1/2015,15:54:08,C0038,Null,Cancelled," 10 The Grove, Plymouth, PL1 1HQ",bbq_ckn,6
34,1/1/2015,16:21:21,C0014,Card,Dine-in," 10 The Grove, Plymouth, PL1 1HQ",mediterraneo,7
35,1/1/2015,16:32:04,C0007,Online,Dine-in,"45 Oxford Road, Manchester, M1 7ED",calabrese,4
36,1/1/2015,16:54:09,C0073,Card,Takeaway," 19 Church Street, Leicester, LE1 5AN",spinach_supr,2
37,1/1/2015,16:56:09,C0047,Online,Dine-in," 8 Meadow Close, Derby, DE1 2TY",mexicana,3
38,1/1/2015,17:03:00,C0073,Cash,Delivery," 11 Station Road, Southampton, SO14 6GH",hawaiian,7
39,1/1/2015,17:07:23,C0079,Cash,Delivery,"14 Park Lane, Glasgow, G3 7HB",veggie_veg,7
40,1/1/2015,17:14:36,C0059,Cash,Delivery," 4 The Green, Brighton, BN1 4KL",mediterraneo,4
41,1/1/2015,17:15:20,C0014,Card,Delivery," 19 Church Street, Leicester, LE1 5AN",spicy_ital,2
42,1/1/2015,17:28:09,C0022,Null,Cancelled," 11 Station Road, Southampton, SO14 6GH",ckn_alfredo,7
43,1/1/2015,17:38:34,C0037,Cash,Dine-in," 2 Mill Lane, York, YO1 6JF",bbq_ckn,3
44,1/1/2015,17:54:20,C0009,Online,Dine-in,"14 Park Lane, Glasgow, G3 7HB",calabrese,4
45,1/1/2015,17:55:48,C0035,Cash,Dine-in," 18 Springfield Avenue, Swansea, SA1 6DF",peppr_salami,6
